Date,Temp
1/1/95,28
1/2/95,29
1/3/95,29.9
1/4/95,34.5
1/5/95,36.6
1/6/95,39.5
1/7/95,35.9
1/8/95,35.8
1/9/95,29.3
1/10/95,28.4
1/11/95,28
1/12/95,28.7
1/13/95,27
1/14/95,26.6
1/15/95,27.3
1/16/95,30.1
1/17/95,30.3
1/18/95,26.7
1/19/95,25.9
1/20/95,27.1
1/21/95,33.4
1/22/95,33
1/23/95,26
1/24/95,29.6
1/25/95,26.2
1/26/95,28.4
1/27/95,31.9
1/28/95,32.2
1/29/95,32.5
1/30/95,29.5
1/31/95,25.8
2/1/95,26.7
2/2/95,26.8
2/3/95,24.3
2/4/95,27.5
2/5/95,34.4
2/6/95,38.7
2/7/95,39.9
2/8/95,37.9
2/9/95,36.6
2/10/95,33.3
2/11/95,40.7
2/12/95,35.7
2/13/95,35.2
2/14/95,38.8
2/15/95,35.5
2/16/95,36.1
2/17/95,37.5
2/18/95,40.1
2/19/95,35.6
2/20/95,34.7
2/21/95,33.8
2/22/95,38.1
2/23/95,40.9
2/24/95,43
2/25/95,37.9
2/26/95,40
2/27/95,33.1
2/28/95,35.2
3/1/95,36.8
3/2/95,42.1
3/3/95,39.6
3/4/95,44.5
3/5/95,48
3/6/95,51
3/7/95,50.9
3/8/95,48.9
3/9/95,44.1
3/10/95,48.8
3/11/95,42.3
3/12/95,44.8
3/13/95,46.9
3/14/95,50.7
3/15/95,41.6
3/16/95,29
3/17/95,39.5
3/18/95,45.6
3/19/95,50
3/20/95,54.2
3/21/95,49.2
3/22/95,45.9
3/23/95,40
3/24/95,43.7
3/25/95,46.7
3/26/95,53.6
3/27/95,47.8
3/28/95,44
3/29/95,49.2
3/30/95,50.5
3/31/95,51
4/1/95,45.7
4/2/95,47.5
4/3/95,54.8
4/4/95,53.3
4/5/95,59.9
4/6/95,57.1
4/7/95,57.6
4/8/95,50.2
4/9/95,54.5
4/10/95,43.3
4/11/95,51.8
4/12/95,58.1
4/13/95,56.9
4/14/95,55.9
4/15/95,52.5
4/16/95,62.8
4/17/95,62.8
4/18/95,53
4/19/95,60.2
4/20/95,62.2
4/21/95,62
4/22/95,58.7
4/23/95,64.9
4/24/95,63.8
4/25/95,59
4/26/95,63.5
4/27/95,65.9
4/28/95,72
4/29/95,70
4/30/95,67.8
5/1/95,55.3
5/2/95,54.8
5/3/95,59.6
5/4/95,64.1
5/5/95,68.7
5/6/95,66.4
5/7/95,68.9
5/8/95,72
5/9/95,59.3
5/10/95,63.4
5/11/95,64.6
5/12/95,55
5/13/95,53.1
5/14/95,63.9
5/15/95,68.6
5/16/95,72
5/17/95,74.4
5/18/95,70
5/19/95,71.7
5/20/95,68.5
5/21/95,67
5/22/95,72.1
5/23/95,73.2
5/24/95,76.7
5/25/95,72.9
5/26/95,73.3
5/27/95,69.1
5/28/95,74.8
5/29/95,72.2
5/30/95,75.4
5/31/95,76.7
6/1/95,66.5
6/2/95,70.6
6/3/95,74.4
6/4/95,80.3
6/5/95,77.6
6/6/95,74
6/7/95,75.1
6/8/95,74.5
6/9/95,75
6/10/95,79
6/11/95,78.1
6/12/95,77.7
6/13/95,77.4
6/14/95,77
6/15/95,75.2
6/16/95,70.9
6/17/95,67
6/18/95,68.7
6/19/95,80.4
6/20/95,74.5
6/21/95,77.2
6/22/95,75.5
6/23/95,80.1
6/24/95,76.4
6/25/95,80
6/26/95,73.5
6/27/95,80.8
6/28/95,80.7
6/29/95,75.6
6/30/95,71.2
7/1/95,68.3
7/2/95,77.6
7/3/95,80.9
7/4/95,82.5
7/5/95,83.9
7/6/95,84.8
7/7/95,83.6
7/8/95,83.5
7/9/95,85
7/10/95,86.9
7/11/95,80.5
7/12/95,85.2
7/13/95,73.9
7/14/95,70.1
7/15/95,80.2
7/16/95,79.8
7/17/95,74.6
7/18/95,65.8
7/19/95,70.7
7/20/95,78.3
7/21/95,81.3
7/22/95,82
7/23/95,73.3
7/24/95,79.9
7/25/95,70.6
7/26/95,79
7/27/95,78.9
7/28/95,78.5
7/29/95,74
7/30/95,82.8
7/31/95,80.9
8/1/95,79.4
8/2/95,72.4
8/3/95,76.6
8/4/95,78.6
8/5/95,76.9
8/6/95,73.2
8/7/95,79.6
8/8/95,81.5
8/9/95,84.1
8/10/95,81.1
8/11/95,75.4
8/12/95,78.1
8/13/95,79.6
8/14/95,72.1
8/15/95,78.7
8/16/95,69.1
8/17/95,74
8/18/95,75.6
8/19/95,76.6
8/20/95,78.9
8/21/95,78.9
8/22/95,78
8/23/95,79.5
8/24/95,81.4
8/25/95,81.3
8/26/95,78.6
8/27/95,76.2
8/28/95,79.4
8/29/95,74.6
8/30/95,79.4
8/31/95,72.9
9/1/95,68.9
9/2/95,76.3
9/3/95,71.2
9/4/95,74
9/5/95,69.2
9/6/95,60.5
9/7/95,62.6
9/8/95,58.8
9/9/95,66.8
9/10/95,63.9
9/11/95,66.6
9/12/95,66.6
9/13/95,68.4
9/14/95,61.8
9/15/95,69.6
9/16/95,69.8
9/17/95,70.2
9/18/95,71.1
9/19/95,67.8
9/20/95,69
9/21/95,69.5
9/22/95,70.5
9/23/95,59.1
9/24/95,59.1
9/25/95,54.8
9/26/95,58.5
9/27/95,60.2
9/28/95,64.3
9/29/95,65.6
9/30/95,67.3
10/1/95,65.5
10/2/95,58.3
10/3/95,63.1
10/4/95,56.3
10/5/95,51.8
10/6/95,53.5
10/7/95,59.1
10/8/95,61.8
10/9/95,59.9
10/10/95,60.2
10/11/95,61.6
10/12/95,65.2
10/13/95,61
10/14/95,61.3
10/15/95,59.6
10/16/95,61.1
10/17/95,63.2
10/18/95,58.3
10/19/95,57.6
10/20/95,56.1
10/21/95,60.4
10/22/95,61.5
10/23/95,59.7
10/24/95,57.4
10/25/95,59.1
10/26/95,60
10/27/95,53.8
10/28/95,55.3
10/29/95,54.6
10/30/95,48.9
10/31/95,35.2
11/1/95,41.8
11/2/95,52.6
11/3/95,54.8
11/4/95,54.4
11/5/95,55.5
11/6/95,52
11/7/95,42.9
11/8/95,44.4
11/9/95,52.3
11/10/95,54.2
11/11/95,54.7
11/12/95,54.5
11/13/95,52.1
11/14/95,48.9
11/15/95,45.9
11/16/95,50
11/17/95,47.1
11/18/95,46.6
11/19/95,40.3
11/20/95,39
11/21/95,43.5
11/22/95,34.9
11/23/95,37.4
11/24/95,44.4
11/25/95,46.2
11/26/95,38.2
11/27/95,37.5
11/28/95,38.7
11/29/95,39.5
11/30/95,37.7
12/1/95,37
12/2/95,37.9
12/3/95,35.5
12/4/95,31.7
12/5/95,30.1
12/6/95,32.7
12/7/95,33
12/8/95,29.4
12/9/95,28.7
12/10/95,31.3
12/11/95,36.6
12/12/95,35.1
12/13/95,32.2
12/14/95,31.8
12/15/95,30.6
12/16/95,30.9
12/17/95,30.4
12/18/95,33.2
12/19/95,33.1
12/20/95,32.8
12/21/95,33.8
12/22/95,32.6
12/23/95,29.1
12/24/95,23.9
12/25/95,23.7
12/26/95,26.9
12/27/95,28
12/28/95,26.3
12/29/95,27
12/30/95,33.3
12/31/95,34
1/1/96,34.1
1/2/96,28.5
1/3/96,24.2
1/4/96,25.2
1/5/96,30.7
1/6/96,28.4
1/7/96,25.4
1/8/96,22.8
1/9/96,25.3
1/10/96,27.8
1/11/96,30
1/12/96,27.3
1/13/96,28.8
1/14/96,30.6
1/15/96,24.3
1/16/96,21.8
1/17/96,25.3
1/18/96,24.7
1/19/96,28.3
1/20/96,29.3
1/21/96,26
1/22/96,30.8
1/23/96,27.6
1/24/96,28
1/25/96,24.7
1/26/96,31.1
1/27/96,34.6
1/28/96,35.4
1/29/96,30.1
1/30/96,25.5
1/31/96,26.4
2/1/96,27.5
2/2/96,26.3
2/3/96,32.7
2/4/96,26.5
2/5/96,25.7
2/6/96,27.5
2/7/96,29.2
2/8/96,24.9
2/9/96,25.9
2/10/96,29.1
2/11/96,34.2
2/12/96,42.1
2/13/96,53.8
2/14/96,36.9
2/15/96,29
2/16/96,25.8
2/17/96,25.9
2/18/96,27
2/19/96,28.5
2/20/96,28.2
2/21/96,32.1
2/22/96,35.3
2/23/96,34.9
2/24/96,32.7
2/25/96,38
2/26/96,32
2/27/96,35.1
2/28/96,39.1
2/29/96,36.8
3/1/96,40.7
3/2/96,41.5
3/3/96,51
3/4/96,43.7
3/5/96,38.8
3/6/96,40.7
3/7/96,37.2
3/8/96,40.4
3/9/96,42.1
3/10/96,43.7
3/11/96,40.2
3/12/96,41.6
3/13/96,51
3/14/96,47.6
3/15/96,41.8
3/16/96,38.8
3/17/96,40.1
3/18/96,39.5
3/19/96,44
3/20/96,45.4
3/21/96,38.5
3/22/96,37.7
3/23/96,34.8
3/24/96,42.9
3/25/96,49.4
3/26/96,50
3/27/96,46.7
3/28/96,51.8
3/29/96,50.4
3/30/96,52
3/31/96,48.3
4/1/96,44.7
4/2/96,47.7
4/3/96,49.8
4/4/96,54.8
4/5/96,54.4
4/6/96,56.9
4/7/96,56.4
4/8/96,55.6
4/9/96,49
4/10/96,47.5
4/11/96,50.9
4/12/96,47.1
4/13/96,49.1
4/14/96,59.4
4/15/96,54.7
4/16/96,60.2
4/17/96,52.8
4/18/96,57.7
4/19/96,55.6
4/20/96,57.4
4/21/96,66
4/22/96,70.6
4/23/96,69.8
4/24/96,62.5
4/25/96,66.8
4/26/96,69.5
4/27/96,72
4/28/96,67
4/29/96,64.9
4/30/96,70.6
5/1/96,65.5
5/2/96,71
5/3/96,60.5
5/4/96,62.9
5/5/96,54
5/6/96,62.6
5/7/96,62.6
5/8/96,65.6
5/9/96,68.9
5/10/96,64.7
5/11/96,67.4
5/12/96,73.8
5/13/96,72.5
5/14/96,73.7
5/15/96,72.7
5/16/96,71.9
5/17/96,73.9
5/18/96,67
5/19/96,70.5
5/20/96,72.7
5/21/96,74.6
5/22/96,74.2
5/23/96,76.5
5/24/96,78
5/25/96,78.2
5/26/96,70.6
5/27/96,72.6
5/28/96,75.6
5/29/96,79
5/30/96,81
5/31/96,81.6
6/1/96,80.2
6/2/96,82
6/3/96,77.9
6/4/96,75.6
6/5/96,79.6
6/6/96,68.6
6/7/96,77
6/8/96,81.3
6/9/96,80.7
6/10/96,77.2
6/11/96,80.5
6/12/96,83.5
6/13/96,78.9
6/14/96,77.9
6/15/96,69.6
6/16/96,70.9
6/17/96,77.9
6/18/96,80.7
6/19/96,69
6/20/96,72.4
6/21/96,80.5
6/22/96,78.8
6/23/96,73
6/24/96,77.4
6/25/96,83.7
6/26/96,81.6
6/27/96,70.3
6/28/96,71.1
6/29/96,77.6
6/30/96,83.3
7/1/96,85.8
7/2/96,82
7/3/96,79.1
7/4/96,78.5
7/5/96,74.1
7/6/96,83.5
7/7/96,81.5
7/8/96,74.3
7/9/96,68.6
7/10/96,67.2
7/11/96,71.1
7/12/96,73.5
7/13/96,75.6
7/14/96,76.9
7/15/96,76.7
7/16/96,79.6
7/17/96,74.9
7/18/96,78.7
7/19/96,79
7/20/96,75.2
7/21/96,80.3
7/22/96,82.5
7/23/96,77.4
7/24/96,81.3
7/25/96,78.3
7/26/96,83.1
7/27/96,80.7
7/28/96,81.8
7/29/96,80.7
7/30/96,74.8
7/31/96,73.5
8/1/96,72
8/2/96,77.5
8/3/96,77.7
8/4/96,76.2
8/5/96,73.5
8/6/96,82.9
8/7/96,83.8
8/8/96,79.2
8/9/96,73.9
8/10/96,75.7
8/11/96,73.2
8/12/96,76.3
8/13/96,74.7
8/14/96,79.3
8/15/96,81.4
8/16/96,82.7
8/17/96,83.3
8/18/96,82.9
8/19/96,78.8
8/20/96,68.3
8/21/96,71.5
8/22/96,62.3
8/23/96,71.2
8/24/96,61.4
8/25/96,67.1
8/26/96,70.4
8/27/96,72.9
8/28/96,73.6
8/29/96,73.6
8/30/96,74.6
8/31/96,75.8
9/1/96,77.5
9/2/96,62.2
9/3/96,67.2
9/4/96,70.8
9/5/96,70.6
